SiteCode,SiteName,Latitude,Longitude,StartDate,EndDate,SiteLocationType,SiteClassification,SiteActive,SiteGroup,SponsorName,OtherTags,Enabled,SiteDescription
CLDP0298,Barking Food Forest,51.52254104614258,0.11985400319099426,2022-03-10T15:01:25.407Z,,,Urban Background,1,Community Programme Y1,Bloomberg Philanthropies,"Barking Food Forest, Barking and Dagenham, Bloomberg 25-27, Community Programme, Deployed, Replacement, Solar300, V2",Y,The node is located in the Barking Food Forest - a community garden run by Thames Ward Community Programme. It also borders football pitches used by pupils from Riverside School and the local community
CLDP0299,Linden Children's Centre,51.559165954589844,-0.0697256550192833,2022-03-10T10:50:21.673Z,,,Urban Background,1,Community Programme Y1,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Hackney, Rectory Road Resident's Association, Solar300, V2",Y,"The solar panel node is located on the front of the Linden Children's Centre, next to the playground which is directly on Rectory Road.  Rectory Road is a residential street carrying the southbound traffic of the A10 into London. It is also home to a diverse community including families, a school, playground and Stoke Newington Common. The node on the Children's Centre is in the middle stretch of the road and is strategically placed to monitor the pollution levels of the southbound A10."
CLDP0300,Harlesden High Street,51.53561782836914,-0.24772986769676208,2022-03-11T10:38:07.053Z,,,Roadside,1,Community Programme Y1,Bloomberg Philanthropies,"Bloomberg 25-27, Brent, Community Programme, Deployed, Harlesden Neighbourhood Forum, Solar300, V2",Y,
CLDP0306,Victoria Park Harriers,51.54447937011719,-0.03266606852412224,2022-06-17T09:50:42.307Z,,,Roadside,1,Community Programme Y1,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Mains300, Replacement, Tower Hamlets, V2, Victoria Park Harriers",N,"Victoria Park Harriers and Tower Hamlets Athletics Club is based at St. Augustine’s Hall in the north-east corner of Victoria Park in Tower Hamlets, London. It was formed in 2001 as a merger of Victoria Park Harriers (founded in 1926) and Tower Hamlets Athletics Club (founded in 1976). The club is open to all regardless of ability from the age of 9 upwards and coached training sessions occur at St. Augustine’s Hall, Mile End Stadium and the London Marathon Community Track at least twice a week. The active membership of approximately 450 athletes includes track, field, road and cross-country athletes, from beginners to Olympians. The club reflects the diversity of East London and has close links to local schools through our junior athletes.

While Mile End Stadium and the London Marathon Community Track are both over 50 metres away from busy roads and thus classified as urban background locations, St. Augustine’s Hall is about 20 metres from the A106, close to the junction with the A12, which results in poor air quality, as reported by the Breathe GB campaign, which found that St. Augustine’s Hall had the worst air quality of any sports facility in England with an average of 67 µg/m3 of NO2 and 17 µg/m3 of PM2.5 in 2018.

The Club is looking forward to using the data from the Breathe London node, which will improve the ability of Club members and local residents to avoid high pollution episodes and provide them with the data necessary to advocate for measures to improve local air quality.
"
CLDP0316,A1203 - Shadwell,51.509552001953125,-0.06012526527047157,2022-04-27T11:10:52.693Z,,,Roadside,1,Community Programme Y1,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Solar300, St. George’s Neighborhood Action, Tower Hamlets, V2",Y,"The Node is located on a lampost on the A1203 (also known as 'The Highway') out the front of St George-in-the-East church in Shadwell. The location was chosen by Shadwell Responds, one of the groups in the Breathe London Community Programme. This is a busy arterial route from central London to the East. It is also a stretch of road used by local parents and children heading to school and the nearby swimming pool. Shadwell Responds and the local community have plans to develop a piazza to calm traffic and provide a safer and greener crossing area for pedestrians. The Node will help make the case for public realm improvements here."
CLDP0317,Warwick Road,51.490726470947266,-0.19646699726581573,2022-04-28T10:48:14.263Z,,,Roadside,1,Community Programme Y1,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Earls Court Society, Kensington and Chelsea, Solar300, V2",Y,"The Node is located on the corner of Trebvoir Road and Warwick Road. This location was chosen by Earl's Court Society, part of the Breathe London Community Programme. Warwick Road is a TfL red route and one-way system carrying three lanes of traffic north towards Kensington High Street. Warwick Road is a residential road with housing blocks on both sides of the road. This Node is the first air quality monitor dedicated to monitoring Warwick Road. Earl's Court Society is a large volunteer-led group who's aims are to protect, preserve and improve the Earl's Court area."
CLDP0353,Serpentine Gallery,51.504695892333984,-0.17504499852657318,2022-10-06T17:52:41.873Z,,,Urban Background,1,Cultural Centres,Bloomberg Philanthropies,"Cultural Centre, Deployed, Kensington and Chelsea, Solar300, V2",Y,"
This site is part of the Breathe London Cultural Network sponsored by Bloomberg Philanthropies. Other partner sites in the network include the Serpentine Gallery, Science Museum, Imperial War Museum and the National Gallery. In common with Breathe London’s mission to reach communities less engaged with environmental programmes and affected by poor air quality, the cultural network will share data and stories with their visitors, exploring ways to present environmental issues in the context of their own exhibits and settings. 
	"
CLDP0362,Kew Gardens,51.481876373291016,-0.2943252623081207,2022-11-04T11:08:59.787Z,,,Urban Background,1,Cultural Centres,Bloomberg Philanthropies,"Cultural Centre, Deployed, Replacement, Richmond upon Thames, Solar300, V2",Y,"
This sensor unit sits at the heart of Kew Gardens, in the Met office weather station situated on the lawn near the Orangery and Family Kitchen and Shop.

It is part of the Breathe London Cultural Network sponsored by Bloomberg Philanthropies.

Other partner sites in the network include the Serpentine Gallery, Science Museum, Imperial War Museum and the National Gallery. In common with Breathe London’s mission to reach communities less engaged with environmental programmes and affected by poor air quality, the cultural network will share data and stories with their visitors, exploring ways to present environmental issues in the context of their own exhibits and settings. 
	"
CLDP0384,Imperial War Museum,51.495243072509766,-0.10852696746587753,2022-12-14T09:00:00.000Z,,,Urban Background,1,Cultural Centres,Bloomberg Philanthropies,"Cultural Centre, Deployed, Solar300, Southwark, V2",Y,"This sensor unit is installed on the southern perimeter of the Imperial War Museum. It is part of the Breathe London Cultural Network sponsored by Bloomberg Philanthropies.

Other partner sites in the network include the Serpentine Gallery, Science Museum, Kew Botanical Gardens and the National Gallery. In common with Breathe London’s mission to reach communities less engaged with environmental programmes and affected by poor air quality, the cultural network will share data and stories with their visitors, exploring ways to present environmental issues in the context of their own exhibits and settings."
CLDP0390,The Heron Practice,51.56828308105469,-0.09314049035310745,2023-01-20T22:54:13.517Z,,,Urban Background,1,Community Programme Y2,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Hackney, Primary Care, Solar300, The Heron Practice, V2",Y,The Heron Practice is a 12000+ practice in Hackney. We are taking part in the Royal college of GPS greener practice work hoping to improve the outdoor space in our practice using social prescribing  volunteer groups and working with NHS estates. 
